pietro,izby,powierzchnia,zadrzewienie,autostrada,przemysł,centrum,jezioro,lasy,tramwaj,policja,szkola,cena,zainter
2,4,65.94,100,7220.5,133.4166,7615.911,261.7728,96.04687,2599.356,1059.021,1500.833,5004.55,FALSE
1,2,33.2,21.72,4384.955,169.1892,2375.395,3475.809,2024.846,317.5689,1301.768,65,5481.93,FALSE
7,2,26.4,28.04,7681.959,90,4707.707,684.4158,283.6371,1365.156,2660.117,967.9101,2462.12,TRUE
3,4,55.7,3.6,11512.64551,248.24384,5889.14258,3631.59741,635.60992,1070,1012.13885,257.00195,6104.13,FALSE
5,2,32.1,3.08,3770.332,89.44272,2563.006,3436.859,1819.945,68.00735,590,414.8494,6386.29,FALSE
4,3,33.39,2.6,1863.498,82.0061,4448.354,2382.236,522.8049,307.6118,2130.317,165,5031.45,FALSE
6,1,25.2,1.6,5709.588,93.94147,495.202,1875.06,2967.09,255.196,762.9712,285,7460.32,TRUE
2,2,66.1,5.16,10112.29,660,5621.221,1692.491,586.6217,2503.438,3065.065,1122.698,5658.09,FALSE
1,4,65.9,15.56,3756.97,125,2486.202,3182.86,1552.103,130.3841,247.3863,186.6815,5386.95,FALSE
1,2,27.3,11.64,5062.37354,139.46326,1148.43372,2161.90308,2412.01685,11.18034,1174.77661,565.26544,7142.86,FALSE
2,2,29.3,3.16,4174.12256,55.9017,2113.35034,3017.35815,1930.05835,154.43445,470.55817,25,6000,FALSE
3,4,47.2,27.16,4600.72,325.346,2250.555,1402.578,1554.26,94.86833,1025.524,317.8443,5614.41,FALSE
1,4,61.97,4.8,11185.03,194.4865,6371.35,2784.107,828.6887,2776.013,2001.05,971.558,7100.21,FALSE
6,2,42.4,0,5467.918,493.8117,2486.544,409.2065,770.0162,183.5756,110,869.0368,7040.09,FALSE
2,3,44.78,2.6,1863.498,82.0061,4448.354,2382.236,522.8049,307.6118,2130.317,165,4912.91,FALSE
4,3,31.72,0,6576.519,85,2270.595,1260.516,794.0403,35.35534,739.0027,262.3452,4728.88,TRUE
2,2,48.7,0.48,4044.90112,120.10412,5637.41504,1125.71094,901.47101,109.65856,2299.35327,657.30511,5852.16,FALSE
3,2,46.64,4.36,4792.247,340.0368,2998.033,988.863,700,220.2272,730.7701,325.9601,6968.27,FALSE
